name,age,country,intMatches,matches,batInns,notOuts,runs,ballsFaced,foursScored,sixesScored,catches&stumpings,bowlInns,ballsBowled,runsConceded,wickets
Abdul Hadi,17,Afghanistan,0,2,2,0,0,3,0,0,3,0,0,0,0
Abdul Malik,24,Afghanistan,0,2,2,0,17,22,2,0,0,0,0,0,0
Abdul Rahman,20,Afghanistan,0,17,9,6,85,56,5,6,8,17,341,463,14
Abdul Wasi,20,Afghanistan,0,12,11,5,139,173,8,2,0,12,232,307,16
Abdullah Adil,28,Afghanistan,0,14,8,4,40,31,5,1,0,14,264,399,8
Abid Mohammadi,19,Afghanistan,0,4,4,0,109,80,7,7,1,0,0,0,0
Abidullah Taniwal,20,Afghanistan,0,7,7,3,65,43,9,2,2,7,126,139,5
Afsar Zazai,28,Afghanistan,2,29,27,9,534,501,48,12,22,0,0,0,0
Aftab Alam,29,Afghanistan,12,43,22,8,83,83,9,3,12,43,883,1206,53
Akbar Musazai,26,Afghanistan,0,4,4,0,54,55,4,2,2,0,0,0,0
Allah Ghazanfar,15,Afghanistan,0,3,1,0,1,6,0,0,0,3,54,56,5
Allah Noor,19,Afghanistan,0,6,4,1,73,69,3,4,2,0,0,0,0
Amir Hamza,30,Afghanistan,33,64,24,14,118,116,6,4,6,64,1323,1432,58
Amir Zazai,21,Afghanistan,0,2,1,0,2,8,0,0,0,2,42,57,2
Arif Khan,21,Afghanistan,0,3,1,0,12,6,1,1,0,3,24,55,0
Asghar Afghan,34,Afghanistan,75,122,114,14,2751,2261,169,157,34,5,31,51,3
Asif Musazai,18,Afghanistan,0,9,8,1,149,131,11,6,2,0,0,0,0
Azmatullah Omarzai,22,Afghanistan,5,26,17,7,310,225,24,16,8,25,548,635,28
Bahar Shinwari,21,Afghanistan,0,15,15,0,368,270,39,22,2,0,0,0,0
Bahir Shah,22,Afghanistan,0,8,8,0,157,157,11,3,5,0,0,0,0
Batin Shah,32,Afghanistan,0,15,8,5,93,62,9,5,3,14,283,452,12
Bilal Sami,18,Afghanistan,0,5,1,1,1,1,0,0,0,5,90,135,3
Darwish Rasooli,22,Afghanistan,4,32,29,6,679,499,51,37,17,0,0,0,0
Dawlat Zadran,34,Afghanistan,34,68,38,19,212,142,17,11,20,68,1425,1861,89
Fareed Ahmad,27,Afghanistan,16,49,13,6,66,59,8,1,7,49,1012,1407,50
Farhan Zakhil,19,Afghanistan,0,10,9,0,170,140,22,7,1,0,0,0,0
Farmanullah,21,Afghanistan,0,12,12,3,211,171,15,12,2,11,198,307,4
Fazal Niazai,32,Afghanistan,1,17,14,4,123,135,5,4,2,12,217,367,10
Fazal Zazai,29,Afghanistan,0,15,15,1,276,271,16,15,2,0,0,0,0
Fazalhaq Farooqi,21,Afghanistan,6,22,3,2,2,10,0,0,4,22,507,514,23
Fitratullah Khawari,25,Afghanistan,0,13,8,2,14,34,0,0,2,13,234,316,11
Ghamai Zadran,25,Afghanistan,0,19,18,4,353,286,22,22,8,0,0,0,0
Gulbadin Naib,31,Afghanistan,53,110,92,27,1353,1016,97,67,42,79,1271,1751,64
Haji Murad Muradi,33,Afghanistan,0,10,8,2,93,124,4,4,3,0,0,0,0
Hamid Hassan,35,Afghanistan,25,54,22,8,83,91,6,2,7,54,1200,1341,66
Hashmatullah Shahidi,27,Afghanistan,4,43,40,12,1234,992,128,34,11,2,24,14,2
Hassan Eisakhil,16,Afghanistan,0,8,8,2,214,195,21,8,5,0,0,0,0
Hazratullah Zazai,24,Afghanistan,25,88,88,3,2467,1688,248,146,31,1,12,19,1
Ibrahim Zadran,20,Afghanistan,3,32,27,7,736,560,57,32,18,14,183,266,6
Ihsanullah,24,Afghanistan,1,35,34,2,782,627,76,33,11,0,0,0,0
Ijaz Ahmad Ahmadzai,19,Afghanistan,0,3,1,0,4,3,1,0,0,0,0,0,0
Ikram Alikhil,21,Afghanistan,0,30,21,10,120,135,7,1,23,0,0,0,0
Imran,20,Afghanistan,0,4,4,0,56,57,7,0,0,0,0,0,0
Imran Mohammadi,20,Afghanistan,0,5,4,1,38,50,3,0,0,3,60,93,2
Islam Zazai,19,Afghanistan,0,2,2,1,15,18,1,0,1,0,0,0,0
Ismat Alam,20,Afghanistan,0,6,3,1,59,40,4,3,7,5,42,62,1
Izharulhaq Naveed,18,Afghanistan,0,10,2,2,4,3,0,0,2,10,201,220,12
Jalat Khan,41,Afghanistan,0,5,5,0,84,76,7,5,1,0,0,0,0
Jamshid Khan,19,Afghanistan,0,7,6,1,22,32,1,1,0,6,107,106,6
Javed Tarakai,18,Afghanistan,0,1,1,0,0,4,0,0,0,0,0,0,0
Juma Gul,22,Afghanistan,0,13,13,1,126,162,10,3,4,9,120,170,1
Kamran Hotak,17,Afghanistan,0,2,2,1,20,32,0,0,0,0,0,0,0
Karim Janat,23,Afghanistan,36,79,59,10,1282,923,100,76,19,77,1539,1962,74
Mohammad Akram,22,Afghanistan,0,4,4,0,37,44,4,1,0,0,0,0,0
Mohammad Ibrahim,23,Afghanistan,0,8,3,1,0,2,0,0,0,8,168,200,10
Mohammad Ishaq,17,Afghanistan,0,10,9,3,45,59,2,2,2,0,0,0,0
Mohammad Nabi,37,Afghanistan,91,337,286,56,5109,3698,353,254,157,328,6508,7565,308
Mohammad Sabir,19,Afghanistan,0,1,0,0,0,0,0,0,0,0,0,0,0
Mohammad Saleem,19,Afghanistan,0,12,0,0,0,0,0,0,0,12,264,314,12
Mohammad Shahzad,35,Afghanistan,70,150,150,12,4197,3117,470,169,137,0,0,0,0
Mohammadullah Najibullah,19,Afghanistan,0,4,3,0,70,61,6,4,1,0,0,0,0
Mohammadullah Hamkar,20,Afghanistan,0,3,0,0,0,0,0,0,0,3,60,98,2
Mujeeb Ur Rahman,21,Afghanistan,23,173,56,26,212,214,16,7,36,173,3934,4360,190
Munir Ahmad,26,Afghanistan,0,21,17,5,299,242,17,11,5,0,0,0,0
Muslim  Musa,25,Afghanistan,0,25,22,8,162,122,14,7,8,24,417,650,24
Najibullah Zadran,29,Afghanistan,73,164,146,37,3147,2272,221,172,62,2,12,8,1
Nangeyalia Kharote,18,Afghanistan,0,15,10,4,114,80,12,4,3,12,240,283,17
Nasir Totakhil,22,Afghanistan,0,11,5,2,32,47,4,0,4,11,204,236,12
Naveed Obaid,21,Afghanistan,0,5,5,0,71,81,11,0,2,0,0,0,0
Naveen-ul-Haq,22,Afghanistan,13,107,41,16,194,211,17,4,34,107,2243,2951,133
Nijat Masood,23,Afghanistan,3,24,8,6,6,17,0,0,4,24,486,665,25
Nisar Wahdat,23,Afghanistan,0,11,9,2,124,103,11,3,2,0,0,0,0
Noor Ahmad,17,Afghanistan,1,43,16,10,54,57,3,2,15,43,946,1165,43
Noor Ali Zadran,34,Afghanistan,20,52,51,7,1462,1235,139,38,11,0,0,0,0
Noor-ul-Haq,24,Afghanistan,0,1,1,0,1,3,0,0,0,1,6,24,0
Qais Ahmad,21,Afghanistan,2,125,63,17,527,426,38,30,36,122,2643,3131,143
Qasim OryaKhail,30,Afghanistan,0,4,4,0,37,55,4,0,4,0,0,0,0
Rahim Mangal,27,Afghanistan,0,7,6,1,49,63,4,1,1,0,0,0,0
Rahmanullah,19,Afghanistan,0,8,4,1,71,75,8,0,5,0,0,0,0
Rahmanullah Gurbaz,20,Afghanistan,22,80,79,3,1996,1295,157,137,50,1,3,9,0
Rahmat Shah,29,Afghanistan,0,30,26,1,396,369,25,14,8,14,185,230,10
